Area Name,Sex,Age group,Life expectancy (years) ,Lower confidence interval,upper CI,Countries
Moray,Female,<1,82.58,81.92,83.24,Scotland
Moray,Female,01 to 04,81.85,81.24,82.45,Scotland
Moray,Female,05 to 09,77.85,77.24,78.45,Scotland
Moray,Female,10 to 14,72.85,72.24,73.45,Scotland
Moray,Female,15 to 19,67.89,67.29,68.49,Scotland
Moray,Female,20 to 24,62.98,62.39,63.57,Scotland
Moray,Female,25 to 29,57.98,57.39,58.57,Scotland
Moray,Female,30 to 34,53.15,52.58,53.72,Scotland
Moray,Female,35 to 39,48.4,47.85,48.94,Scotland
Moray,Female,40 to 44,43.58,43.05,44.11,Scotland
Moray,Female,45 to 49,38.86,38.35,39.37,Scotland
Moray,Female,50 to 54,34.15,33.66,34.64,Scotland
Moray,Female,55 to 59,29.58,29.11,30.05,Scotland
Moray,Female,60 to 64,25.19,24.74,25.64,Scotland
Moray,Female,65 to 69,20.85,20.42,21.27,Scotland
Moray,Female,70 to 74,16.83,16.43,17.24,Scotland
Moray,Female,75 to 79,12.96,12.57,13.35,Scotland
Moray,Female,80 to 84,9.58,9.2,9.96,Scotland
Moray,Female,85 to 89,7.03,6.64,7.42,Scotland
Moray,Female,90+,4.95,4.45,5.44,Scotland
Perth and Kinross,Female,<1,82.35,81.81,82.9,Scotland
Perth and Kinross,Female,01 to 04,81.55,81.03,82.06,Scotland
Perth and Kinross,Female,05 to 09,77.63,77.13,78.13,Scotland
Perth and Kinross,Female,10 to 14,72.73,72.24,73.22,Scotland
Perth and Kinross,Female,15 to 19,67.79,67.3,68.27,Scotland
Perth and Kinross,Female,20 to 24,62.79,62.3,63.27,Scotland
Perth and Kinross,Female,25 to 29,57.91,57.44,58.37,Scotland
Perth and Kinross,Female,30 to 34,53,52.54,53.46,Scotland
Perth and Kinross,Female,35 to 39,48.16,47.71,48.61,Scotland
Perth and Kinross,Female,40 to 44,43.44,43.01,43.87,Scotland
Perth and Kinross,Female,45 to 49,38.88,38.48,39.29,Scotland
Perth and Kinross,Female,50 to 54,34.36,33.99,34.74,Scotland
Perth and Kinross,Female,55 to 59,29.88,29.51,30.24,Scotland
Perth and Kinross,Female,60 to 64,25.49,25.14,25.83,Scotland
Perth and Kinross,Female,65 to 69,21.15,20.83,21.48,Scotland
Perth and Kinross,Female,70 to 74,17.17,16.86,17.47,Scotland
Perth and Kinross,Female,75 to 79,13.28,12.99,13.57,Scotland
Perth and Kinross,Female,80 to 84,9.93,9.65,10.2,Scotland
Perth and Kinross,Female,85 to 89,6.9,6.63,7.17,Scotland
Perth and Kinross,Female,90+,4.7,4.38,5.02,Scotland
South Lanarkshire,Female,<1,80.03,79.68,80.38,Scotland
South Lanarkshire,Female,01 to 04,79.23,78.89,79.56,Scotland
South Lanarkshire,Female,05 to 09,75.24,74.91,75.57,Scotland
South Lanarkshire,Female,10 to 14,70.24,69.91,70.57,Scotland
South Lanarkshire,Female,15 to 19,65.27,64.94,65.6,Scotland
South Lanarkshire,Female,20 to 24,60.34,60.02,60.67,Scotland
South Lanarkshire,Female,25 to 29,55.46,55.15,55.78,Scotland
South Lanarkshire,Female,30 to 34,50.64,50.33,50.95,Scotland
South Lanarkshire,Female,35 to 39,45.94,45.65,46.23,Scotland
South Lanarkshire,Female,40 to 44,41.19,40.91,41.47,Scotland
South Lanarkshire,Female,45 to 49,36.57,36.3,36.84,Scotland
South Lanarkshire,Female,50 to 54,31.98,31.72,32.24,Scotland
South Lanarkshire,Female,55 to 59,27.47,27.22,27.72,Scotland
South Lanarkshire,Female,60 to 64,23.18,22.95,23.41,Scotland
South Lanarkshire,Female,65 to 69,19.01,18.79,19.23,Scotland
South Lanarkshire,Female,70 to 74,15.2,14.99,15.4,Scotland
South Lanarkshire,Female,75 to 79,11.73,11.54,11.93,Scotland
South Lanarkshire,Female,80 to 84,8.58,8.4,8.76,Scotland
South Lanarkshire,Female,85 to 89,6.03,5.85,6.21,Scotland
South Lanarkshire,Female,90+,4.16,3.92,4.39,Scotland
